p,time
1011.44934,403993433626779
1011.44934,403993533626779
1011.44934,403993633626779
1011.44934,403993733626779
1011.44934,403993833626779
1011.44934,403993933626779
1011.44934,403994033626779
1011.44934,403994133626779
1011.44934,403994233626779
1011.44934,403994333626779
1011.44934,403994433626779
1011.44934,403994533626779
1011.44934,403994633626779
1011.44934,403994733626779
1011.44934,403994833626779
1011.44934,403994933626779
1011.44934,403995033626779
1011.44934,403995133626779
1011.44934,403995233626779
1011.44934,403995333626779
1011.44934,403995433626779
1011.44934,403995533626779
1011.44934,403995633626779
1011.44934,403995733626779
1011.44934,403995833626779
1011.44934,403995933626779
1011.44934,403996033626779
1011.44934,403996133626779
1011.44934,403996233626779
1011.44934,403996333626779
1011.44934,403996433626779
1011.44934,403996533626779
1011.44934,403996633626779
1011.44934,403996733626779
1011.44934,403996833626779
1011.44934,403996933626779
1011.44934,403997033626779
1011.44934,403997133626779
1011.44934,403997233626779
1011.4495058678841,403997333626779
1011.4475925771419,403997433626779
1011.4419946948316,403997533626779
1011.4458400167639,403997633626779
1011.4523,403997733626779
1011.4534305673878,403997833626779
1011.4567128313573,403997933626779
1011.4578282640572,403998033626779
1011.4560448721394,403998133626779
1011.4523249193741,403998233626779
1011.4479151056468,403998333626779
1011.4486871229011,403998433626779
1011.4535931884019,403998533626779
1011.4510060172057,403998633626779
1011.449086832265,403998733626779
1011.4563550035128,403998833626779
1011.4687246326398,403998933626779
1011.4759837624954,403999033626779
1011.4754161491859,403999133626779
1011.4780249526768,403999233626779
1011.4839340516103,403999333626779
1011.4919298243886,403999433626779
1011.5005875081315,403999533626779
1011.5077385475415,403999633626779
1011.5111690516968,403999733626779
1011.5132010508652,403999833626779
1011.5099532068388,403999933626779
1011.5106395004187,404000033626779
1011.5113461290471,404000133626779
1011.5041859548946,404000233626779
1011.4958496169675,404000333626779
1011.4927106068964,404000433626779
1011.4916497954137,404000533626779
1011.4879689008642,404000633626779
1011.485022825103,404000733626779
1011.4856981278602,404000833626779
1011.4868106745539,404000933626779
1011.4882260303691,404001033626779
1011.4868353574886,404001133626779
1011.484493219545,404001233626779
1011.4805439609504,404001333626779
1011.4788,404001433626779
1011.4785965215805,404001533626779
1011.4770640925562,404001633626779
1011.4737289943768,404001733626779
1011.4740421608764,404001833626779
1011.4747,404001933626779
1011.4759236246119,404002033626779
1011.4751433258284,404002133626779
1011.4733890394299,404002233626779
1011.47296,404002333626779
1011.4746562838651,404002433626779
1011.4737911719857,404002533626779
1011.4707534282206,404002633626779
1011.4660169704736,404002733626779
1011.4665289297133,404002833626779
1011.4597540237835,404002933626779
1011.4596028024868,404003033626779
1011.4626932846644,404003133626779
1011.4590045886018,404003233626779
1011.4598476749928,404003333626779
1011.4558164758414,404003433626779
1011.4564863404577,404003533626779
1011.4567,404003633626779
1011.4567,404003733626779
1011.4616467032715,404003833626779
1011.4575269451408,404003933626779
1011.4607377466125,404004033626779
1011.4577886626247,404004133626779
1011.4528188524837,404004233626779
1011.4488076091609,404004333626779
1011.443322403581,404004433626779
1011.44324,404004533626779
1011.4469273076045,404004633626779
1011.44696,404004733626779
1011.4474505020762,404004833626779
1011.4508288923578,404004933626779
1011.4489853971753,404005033626779
1011.4455833999444,404005133626779
1011.4422037496417,404005233626779
1011.4386316366476,404005333626779
1011.4403915473257,404005433626779
1011.4429289142498,404005533626779
1011.448564071637,404005633626779
1011.4550220050212,404005733626779
1011.4577502442336,404005833626779
1011.4562369219934,404005933626779
1011.4549261434856,404006033626779
1011.4562279005185,404006133626779
1011.4562011169868,404006233626779
1011.464009125859,404006333626779
1011.4733125910424,404006433626779
1011.4774447509362,404006533626779
1011.4753351881566,404006633626779
1011.4735647017253,404006733626779
1011.4775062507956,404006833626779
1011.4807989197279,404006933626779
1011.4795,404007033626779
1011.4796537893352,404007133626779
1011.48,404007233626779
1011.4805805263445,404007333626779
1011.4831399822625,404007433626779
1011.4839961483832,404007533626779
1011.4800388924995,404007633626779
1011.4801675615731,404007733626779
1011.4837689890009,404007833626779
1011.4862,404007933626779
1011.4868522143904,404008033626779
1011.4858466093037,404008133626779
1011.4823085593614,404008233626779
1011.478801865248,404008333626779
1011.4754230877855,404008433626779
1011.4764668649251,404008533626779
1011.4731255521766,404008633626779
1011.4702734002385,404008733626779
1011.4725189411193,404008833626779
1011.4745757012769,404008933626779
1011.4759875730414,404009033626779
1011.4742996883798,404009133626779
1011.4771204100257,404009233626779
1011.4791893756206,404009333626779
1011.4777550171889,404009433626779
1011.4826216443217,404009533626779
1011.4842169876089,404009633626779
1011.4832463287961,404009733626779
1011.48456,404009833626779
1011.4817065983892,404009933626779
1011.4804458670492,404010033626779
1011.4851723876873,404010133626779
1011.4870469961686,404010233626779
1011.486389002239,404010333626779
1011.4803501253166,404010433626779
1011.4794057616333,404010533626779
1011.4855349905,404010633626779
1011.4891623232074,404010733626779
1011.486569891648,404010833626779
1011.4757662490593,404010933626779
1011.475633209589,404011033626779
1011.4813184264451,404011133626779
1011.4828989306598,404011233626779
1011.4805414980283,404011333626779
1011.4854365989311,404011433626779
1011.4794137317117,404011533626779
1011.4728581189561,404011633626779
1011.4717,404011733626779
1011.4754182461245,404011833626779
1011.4754316423565,404011933626779
1011.47504,404012033626779
1011.4726661738166,404012133626779
1011.4742432407321,404012233626779
1011.4643225560791,404012333626779
1011.4586818618535,404012433626779
1011.457753984336,404012533626779
1011.4646981699201,404012633626779
1011.4647785261493,404012733626779
1011.4673531944876,404012833626779
1011.4753296588163,404012933626779
1011.4773763489064,404013033626779
1011.4711810602082,404013133626779
1011.468486814097,404013233626779
1011.4652391246639,404013333626779
1011.4633895336627,404013433626779
1011.4581116047359,404013533626779
1011.4594502170202,404013633626779
1011.4558536268999,404013733626779
1011.4589532813486,404013833626779
1011.4591,404013933626779
1011.4544959266565,404014033626779
1011.4577290522979,404014133626779
1011.4609197125967,404014233626779
1011.4590996613636,404014333626779
1011.4520832375562,404014433626779
1011.4472130567232,404014533626779
1011.4575607900263,404014633626779
1011.4608120949134,404014733626779
1011.4578634719038,404014833626779
1011.4657065636461,404014933626779
1011.4620703114468,404015033626779
1011.4586738804279,404015133626779
1011.4566749666305,404015233626779
1011.4501920142595,404015333626779
1011.4483733925347,404015433626779
1011.4458423340446,404015533626779
1011.4491752905261,404015633626779
1011.4521764177628,404015733626779
1011.4515932765114,404015833626779
1011.446063407092,404015933626779
1011.4403,404016033626779
1011.4405399681124,404016133626779
1011.4407745328656,404016233626779
1011.4376266131023,404016333626779
1011.4363743391397,404016433626779
1011.4367186072645,404016533626779
1011.4342,404016633626779
1011.4342,404016733626779
1011.4346676834734,404016833626779
1011.436,404016933626779
1011.436,404017033626779
1011.4366287738892,404017133626779
1011.4375368111655,404017233626779
1011.4323390000642,404017333626779
1011.4247661787564,404017433626779
1011.42633,404017533626779
1011.4251172886529,404017633626779
1011.4234260219743,404017733626779
1011.4238945994256,404017833626779
1011.4207399939858,404017933626779
1011.4191651970202,404018033626779
1011.4146153386341,404018133626779
1011.4076057620056,404018233626779
1011.4122039671807,404018333626779
1011.4110295057045,404018433626779
1011.4047714019251,404018533626779
1011.398825925097,404018633626779
1011.3954421313167,404018733626779
1011.3926247771824,404018833626779
1011.3894,404018933626779
1011.3876622122897,404019033626779
1011.38617,404019133626779
1011.3834206016329,404019233626779
1011.3818830133866,404019333626779
1011.3806728137754,404019433626779
1011.3803070386975,404019533626779
1011.3841037064923,404019633626779
1011.3840011241117,404019733626779
1011.3817363034743,404019833626779
1011.3846732134258,404019933626779
1011.3856737697048,404020033626779
1011.3861390733405,404020133626779
1011.3808786256687,404020233626779
1011.3747332664872,404020333626779
1011.370864762393,404020433626779
1011.3651509889696,404020533626779
1011.363,404020633626779
1011.3665279210311,404020733626779
1011.3583420773602,404020833626779
1011.3529485128571,404020933626779
1011.3512409648755,404021033626779
1011.3558618490624,404021133626779
1011.3536729986814,404021233626779
1011.347055920926,404021333626779
1011.3496253968931,404021433626779
1011.3548160264409,404021533626779
1011.3611877215561,404021633626779
1011.3643156961301,404021733626779
1011.367697324558,404021833626779
1011.3646146510716,404021933626779
1011.3667237908095,404022033626779
1011.3701945486973,404022133626779
1011.3803966280029,404022233626779
1011.3789646816755,404022333626779
1011.383135078609,404022433626779
1011.3993450578379,404022533626779
1011.408820322392,404022633626779
1011.4177456236138,404022733626779
1011.4196460647172,404022833626779
1011.4264404705517,404022933626779
1011.431769327661,404023033626779
1011.4399147886327,404023133626779
1011.4407,404023233626779
1011.4474411094403,404023333626779
1011.4438254883281,404023433626779
1011.4388029506683,404023533626779
1011.4322907045764,404023633626779
1011.4339574753178,404023733626779
1011.4354531102475,404023833626779
1011.4330250070597,404023933626779
1011.4388457830376,404024033626779
1011.4328823173366,404024133626779
1011.4365173620957,404024233626779
1011.4413183204359,404024333626779
1011.4407932227972,404024433626779
1011.4486221018433,404024533626779
1011.4506843957674,404024633626779
1011.4542428215885,404024733626779
1011.4551438807204,404024833626779
1011.4524,404024933626779
1011.4532347827371,404025033626779
1011.4574,404025133626779
1011.4570728155508,404025233626779
1011.4566139681657,404025333626779
1011.4628427586218,404025433626779
1011.4724355476329,404025533626779
1011.4783055805076,404025633626779
1011.486077795338,404025733626779
1011.4910333326344,404025833626779
1011.4988026534757,404025933626779
1011.4985,404026033626779
1011.4990673525319,404026133626779
1011.5006699414967,404026233626779
1011.5023384209522,404026333626779
1011.5098895091247,404026433626779
1011.5186992350248,404026533626779
1011.518191072561,404026633626779
1011.526197426547,404026733626779
1011.5349820120621,404026833626779
1011.5425676741636,404026933626779
1011.5520085559533,404027033626779
1011.5573481517738,404027133626779
1011.5673919307336,404027233626779
1011.5739877879435,404027333626779
1011.5736765736193,404027433626779
1011.5796963617471,404027533626779
1011.5904801601007,404027633626779
1011.5964045030274,404027733626779
1011.5961665353688,404027833626779
1011.5927729871432,404027933626779
1011.5916491843311,404028033626779
1011.594178691347,404028133626779
1011.5968562351927,404028233626779
1011.5969024852271,404028333626779
1011.59607,404028433626779
1011.597794579839,404028533626779
1011.6042884051554,404028633626779
1011.6062692114189,404028733626779
1011.6044349774388,404028833626779
1011.6068169506291,404028933626779
1011.6153165221409,404029033626779
1011.62067,404029133626779
1011.6228009214851,404029233626779
1011.6263418618181,404029333626779
1011.6287843416885,404029433626779
1011.6336738840399,404029533626779
1011.6396304152196,404029633626779
1011.6382613434721,404029733626779
1011.637965953129,404029833626779
1011.6408980802394,404029933626779
1011.643218234706,404030033626779
1011.6499084865844,404030133626779
1011.6578191181903,404030233626779
1011.6564510581051,404030333626779
1011.65485,404030433626779
1011.6614962789038,404030533626779
1011.6650545566254,404030633626779
1011.6666471231831,404030733626779
