UPTIMENANO,Ax,Ay,Az
69192935779909,-1.3244458000000001,9.491463000000001,-1.2478052
69192955626364,-1.3364209999999999,9.484278,-1.1520045
69192975482365,-1.3076807,9.522598,-1.1112891000000003
69192995338366,-1.2813355,9.592053,-1.1472143999999997
69193015194367,-1.3220508,9.616004,-1.1232642
69193035050368,-1.3771361999999998,9.625584,-1.101709
69193054911099,-1.4154567,9.6615095,-1.1208692
69193074767228,-1.3962965,9.654325,-1.1304493
69193094623229,-1.3771361999999998,9.659114,-1.099314
69193114479358,-1.331631,9.649534,-1.1328443000000001
69193134335359,-1.3052857,9.608819,-1.2166698999999999
69193154187130,-1.331631,9.592053,-1.1831397
69193174043131,-1.3747413,9.613608000000001,-1.1304493
69193193899132,-1.3675561999999999,9.582474000000001,-1.1064991000000002
69193213755005,-1.346001,9.580078,-1.1232642
69193233613426,-1.3555812,9.596844,-1.1543995
69193253469427,-1.3699511999999998,9.570497999999999,-1.1807446000000001
69193273325428,-1.3747413,9.546548,-1.1376343
69193293181429,-1.3579761000000001,9.534574000000001,-1.0873389
69193313037430,-1.3436059999999999,9.536968,-1.1136841999999998
69193332893559,-1.3364209999999999,9.577683,-1.1639795
69193352743848,-1.346001,9.596844,-1.1615845
69193372599593,-1.3603711,9.632769,-1.1232642
69193392455444,-1.3795313,9.630374,-1.094524
69193412311317,-1.3651612,9.627979,-1.101709
69193432167190,-1.3603711,9.630374,-1.1184741000000002
69193452024903,-1.3507911,9.592053,-1.1687696
69193471880904,-1.3507911,9.594449000000001,-1.2094848999999999
69193491736777,-1.3603711,9.599238,-1.1663746000000002
69193511592650,-1.3412110000000002,9.553733,-1.1472143999999997
69193531448523,-1.3699511999999998,9.575289,-1.1472143999999997
69193551304396,-1.3603711,9.582474000000001,-1.1687696
69193571156735,-1.346001,9.524992999999998,-1.2022998
69193591012608,-1.3723463,9.5633135,-1.1879296999999998
69193610868353,-1.3483961000000002,9.584868,-1.1807446000000001
69193630724098,-1.3244458000000001,9.6615095,-1.2166698999999999
69193650582799,-1.3412110000000002,9.685459,-1.1543995
69193670438672,-1.3627661,9.632769,-1.1496094
69193690294545,-1.3915064,9.625584,-1.1999048
69193710150290,-1.3867163999999998,9.618399,-1.1879296999999998
69193730006163,-1.3603711,9.536968,-1.1783496
69193749863446,-1.3292358999999998,9.539363,-1.2454101999999998
69193769719191,-1.3412110000000002,9.565708,-1.2358301999999999
69193789575064,-1.3651612,9.599238,-1.1927198
69193809430937,-1.3627661,9.625584,-1.1831397
69193829286810,-1.3579761000000001,9.570497999999999,-1.22146
69193849142683,-1.3555812,9.517808,-1.223855
69193868998779,-1.3388159,9.477093,-1.1543995
69193888854780,-1.334026,9.513017999999999,-1.1280543
69193908710653,-1.3412110000000002,9.532178,-1.1639795
69193928566526,-1.3172607,9.544153,-1.2382251
69193948422893,-1.346001,9.627979,-1.2454101999999998
69193968278766,-1.3651612,9.692644,-1.1879296999999998
69193988134639,-1.3555812,9.702225,-1.1400293
69194007990512,-1.3579761000000001,9.6758795,-1.1160791
69194027846385,-1.334026,9.637559,-1.2118799999999998
69194047705506,-1.3723463,9.618399,-1.3076807
69194067561379,-1.3747413,9.604028999999999,-1.2358301999999999
69194087417380,-1.3747413,9.594449000000001,-1.1304493
69194107273381,-1.3483961000000002,9.572892999999999,-1.1903248
69194127129382,-1.331631,9.570497999999999,-1.3483961000000002
69194146985383,-1.3699511999999998,9.5561285,-1.2933106
69194166839452,-1.3723463,9.601633999999999,-1.1352394
69194186695453,-1.3364209999999999,9.584868,-1.0753639
69194206551454,-1.3388159,9.536968,-1.1855347
69194226407327,-1.346001,9.510622999999999,-1.3052857
69194246265308,-1.3100758,9.541758999999999,-1.3052857
69194266121309,-1.3028906999999998,9.601633999999999,-1.2022998
69194285977310,-1.3412110000000002,9.623189,-1.1376343
69194305833311,-1.4082716,9.654325,-1.1543995
69194325689312,-1.4130616000000003,9.632769,-1.2094848999999999
69194345545292,-1.3819263000000002,9.639954,-1.2070899
69194365400379,-1.3771361999999998,9.623189,-1.1735597
69194385256380,-1.3675561999999999,9.599238,-1.2382251
69194405112381,-1.3699511999999998,9.592053,-1.2525953
69194424968510,-1.3723463,9.580078,-1.1855347
69194444824511,-1.3939015,9.560919,-1.1855347
